Order_ID,Order_ReturnDate,Order_ReturnStore,Dropped Off
3,20050711,16,True
4,20050709,8,True
5,20050710,5,True
6,20050715,25,True
7,20050715,14,True
8,20050716,29,True
9,20050718,18,True
11,20050716,13,True
12,20050813,25,True
14,20050719,14,True
15,20050724,15,True
16,20050817,29,True
18,20050723,18,True
19,20050810,14,True
20,20050804,35,True
22,20050808,39,True
23,20050807,25,True
24,20050812,19,True
25,20050814,5,True
26,20050814,21,True
27,20050812,3,True
29,20050818,9,True
30,20050820,10,True
31,20050824,24,True
32,20050806,21,True
33,20050807,15,True
34,20050824,21,True
35,20050813,35,True
36,20050826,23,True
37,20050815,37,True
38,20050828,25,True
39,20050816,9,True
40,20050921,15,True
41,20050819,1,True
42,20050816,13,True
43,20050817,10,True
44,20050828,19,True
45,20050823,5,True
46,20050901,23,True
47,20050824,14,True
48,20050908,30,True
49,20050827,18,True
50,20050829,11,True
51,20050825,22,True
52,20050907,16,True
53,20050910,9,True
54,20050912,14,True
55,20050915,24,True
56,20050910,14,True
57,20050914,13,True
58,20050912,18,True
59,20050913,9,True
60,20050910,11,True
61,20050918,21,True
63,20050910,23,True
64,20050923,17,True
65,20050911,25,True
66,20050913,26,True
67,20050910,27,True
68,20050907,17,True
69,20050928,17,True
70,20050913,30,True
71,20050914,31,True
72,20051001,21,True
73,20050916,23,True
74,20050917,24,True
75,20051014,28,True
76,20050919,26,True
77,20050924,37,True
78,20050924,13,True
79,20050925,14,True
80,20051019,15,True
81,20050924,13,True
82,20051011,12,True
83,20050926,3,True
84,20051010,4,True
85,20051014,20,True
87,20051013,7,True
330,20060617,29,True
331,20060529,26,True
332,20060619,26,True
333,20060612,16,True
334,20060618,14,True
335,20060612,16,True
336,20060604,19,True
337,20060603,11,True
338,20060622,37,True
339,20060620,35,True
340,20060616,11,True
342,20060706,28,True
343,20060613,23,True
344,20060618,24,True
346,20060616,26,True
347,20060713,20,True
348,20060714,26,True
349,20060715,27,True
350,20060623,16,True
351,20060617,12,True
352,20060624,19,True
353,20060626,40,True
354,20060624,34,True
355,20060624,36,True
356,20060629,14,True
357,20060627,11,True
358,20060712,38,True
359,20060715,19,True
360,20060713,10,True
361,20060706,11,True
362,20060708,13,True
364,20060810,35,True
365,20060704,9,True
367,20060713,18,True
368,20060710,12,True
369,20060710,15,True
370,20060726,28,True
371,20060712,12,True
372,20060712,8,True
373,20060712,16,True
374,20060717,14,True
375,20060714,19,True
376,20060718,23,True
