Order_ID,Order_CreateDate,Order_PickupDate,Order_PickupStore,Order_ReturnDate,Order_ReturnStore,Customer_ID,Car_ID
3,20050703,20050703,3,20050711,16,11014,14806
4,20050704,20050704,12,20050709,8,11012,14816
5,20050705,20050705,5,20050710,5,11011,14810
6,20050706,20050709,6,20050715,25,11011,14812
7,20050707,20050707,7,20050715,14,11014,14814
8,20050708,20050709,8,20050716,29,11016,14816
9,20050709,20050709,9,20050718,18,11014,14818
11,20050711,20050711,11,20050716,13,11059,14811
12,20050712,20050715,25,20050813,25,11017,14812
14,20050714,20050715,14,20050719,14,11055,14814
15,20050715,20050715,15,20050724,15,11056,14815
16,20050716,20050716,29,20050817,29,11052,14816
18,20050718,20050718,18,20050723,18,11055,14818
19,20050719,20050720,14,20050810,14,11017,14819
20,20050720,20050723,15,20050804,35,11052,14835
22,20050722,20050722,17,20050808,39,11018,14839
23,20050723,20050723,15,20050807,25,11015,14838
24,20050724,20050727,19,20050812,19,11018,14843
25,20050725,20050725,25,20050814,5,11016,14850
26,20050726,20050729,21,20050814,21,11018,14847
27,20050727,20050727,19,20050812,3,11051,14846
29,20050729,20050729,29,20050818,9,11016,14858
30,20050730,20050730,30,20050820,10,11016,14860
31,20050731,20050731,21,20050824,24,11012,14831
32,20050801,20050804,21,20050806,21,11015,14832
33,20050802,20050802,33,20050807,15,11019,14833
34,20050803,20050803,21,20050824,21,11057,14834
35,20050804,20050804,35,20050813,35,11056,14835
36,20050805,20050805,23,20050826,23,11057,14836
37,20050806,20050806,37,20050815,37,11013,14837
38,20050807,20050807,25,20050828,25,11012,14838
39,20050808,20050808,39,20050816,9,11014,14839
40,20050809,20050810,40,20050921,15,11013,14880
41,20050810,20050810,1,20050819,1,11016,14842
42,20050811,20050814,13,20050816,13,11015,14855
43,20050812,20050812,3,20050817,10,11059,14846
44,20050813,20050816,15,20050828,19,11051,14859
45,20050814,20050814,5,20050823,5,11053,14850
46,20050815,20050815,17,20050901,23,11051,14863
47,20050816,20050816,7,20050824,14,11053,14854
48,20050817,20050818,22,20050908,30,11017,14870
49,20050818,20050818,9,20050827,18,11053,14858
50,20050819,20050820,10,20050829,11,11050,14860
51,20050820,20050821,22,20050825,22,11015,14851
52,20050821,20050821,23,20050907,16,11015,14852
53,20050822,20050822,9,20050910,9,11018,14853
54,20050823,20050824,14,20050912,14,11053,14854
55,20050824,20050824,24,20050915,24,11012,14831
56,20050825,20050826,16,20050910,14,11019,14856
57,20050826,20050826,13,20050914,13,11018,14857
58,20050827,20050827,18,20050912,18,11011,14858
59,20050828,20050828,19,20050913,9,11019,14859
60,20050829,20050829,11,20050910,11,11012,14860
61,20050830,20050830,17,20050918,21,11054,14861
63,20050901,20050901,23,20050910,23,11053,14863
64,20050902,20050902,17,20050923,17,11052,14864
65,20050903,20050903,18,20050911,25,11054,14865
66,20050904,20050905,26,20050913,26,11056,14866
67,20050905,20050905,27,20050910,27,11011,14867
68,20050906,20050907,16,20050907,17,11057,14852
69,20050907,20050907,17,20050928,17,11057,14852
70,20050908,20050908,30,20050913,30,11055,14870
71,20050909,20050909,31,20050914,31,11011,14871
72,20050910,20050911,32,20051001,21,11010,14872
73,20050911,20050911,23,20050916,23,11015,14873
74,20050912,20050915,24,20050917,24,11015,14874
75,20050913,20050914,28,20051014,28,11017,14875
76,20050914,20050915,26,20050919,26,11015,14876
77,20050915,20050915,37,20050924,37,11013,14877
78,20050916,20050917,38,20050924,13,11014,14878
79,20050917,20050917,39,20050925,14,11014,14879
80,20050918,20050921,15,20051019,15,11017,14880
81,20050919,20050919,13,20050924,13,11051,14881
82,20050920,20050920,12,20051011,12,11057,14882
83,20050921,20050921,3,20050926,3,11055,14883
84,20050922,20050923,4,20051010,4,11010,14884
85,20050923,20050924,20,20051014,20,11052,14885
87,20050925,20050925,7,20051013,7,11058,14887
330,20060526,20060526,29,20060617,29,11352,15130
331,20060527,20060527,25,20060529,26,11312,15106
332,20060528,20060529,26,20060619,26,11312,15106
333,20060529,20060529,14,20060612,16,11318,15119
334,20060530,20060530,14,20060618,14,11350,15128
335,20060531,20060531,16,20060612,16,11317,15119
336,20060601,20060602,16,20060604,19,11314,15129
337,20060602,20060603,10,20060603,11,11312,15127
338,20060603,20060603,11,20060622,37,11312,15127
339,20060604,20060604,19,20060620,35,11319,15129
340,20060605,20060605,15,20060616,11,11351,15140
342,20060607,20060608,22,20060706,28,11314,15142
343,20060608,20060608,23,20060613,23,11311,15143
344,20060609,20060612,24,20060618,24,11316,15144
346,20060611,20060612,26,20060616,26,11311,15146
347,20060612,20060613,20,20060713,20,11312,15147
348,20060613,20060614,26,20060714,26,11317,15148
349,20060614,20060614,27,20060715,27,11317,15149
350,20060615,20060618,30,20060623,16,11314,15150
351,20060616,20060616,11,20060617,12,11318,15140
352,20060617,20060617,12,20060624,19,11318,15140
353,20060618,20060618,33,20060626,40,11311,15123
354,20060619,20060620,34,20060624,34,11311,15124
355,20060620,20060620,35,20060624,36,11316,15129
356,20060621,20060624,36,20060629,14,11314,15129
357,20060622,20060622,37,20060627,11,11319,15127
358,20060623,20060624,38,20060712,38,11313,15122
359,20060624,20060624,19,20060715,19,11317,15140
360,20060625,20060626,40,20060713,10,11314,15123
361,20060626,20060626,1,20060706,11,11316,15165
362,20060627,20060628,2,20060708,13,11313,15166
364,20060629,20060629,4,20060810,35,11316,15168
365,20060630,20060630,5,20060704,9,11316,15169
367,20060702,20060702,7,20060713,18,11316,15161
368,20060703,20060704,8,20060710,12,11313,15162
369,20060704,20060704,9,20060710,15,11311,15169
370,20060705,20060706,28,20060726,28,11317,15142
371,20060706,20060706,11,20060712,12,11313,15165
372,20060707,20060710,12,20060712,8,11319,15162
373,20060708,20060708,13,20060712,16,11314,15166
374,20060709,20060710,14,20060717,14,11318,15167
375,20060710,20060710,15,20060714,19,11313,15169
376,20060711,20060712,16,20060718,23,11319,15166
377,20060712,20060712,12,20060717,17,11312,15165
378,20060713,20060713,18,20060716,21,11310,15161
379,20060714,20060714,19,20060722,26,11319,15169
380,20060715,20060716,20,20060724,29,11310,15163
381,20060716,20060716,21,20060721,9,11319,15161
382,20060717,20060717,17,20060721,19,11312,15165
383,20060718,20060718,23,20060728,12,11318,15166
384,20060719,20060722,19,20060721,20,11312,15165
385,20060720,20060721,20,20060723,23,11312,15165
386,20060721,20060722,26,20060814,36,11318,15169
387,20060722,20060722,27,20060810,11,11314,15160
388,20060723,20060723,23,20060726,31,11312,15165
389,20060724,20060724,29,20060813,29,11313,15163
390,20060725,20060728,12,20060728,33,11318,15166
391,20060726,20060726,31,20060815,31,11313,15165
392,20060727,20060727,11,20060816,31,11315,15181
